Provider ID,Hospital Name,City,State,ZIP Code
100035,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100087,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239
100213,HCA FLORIDA BLAKE HOSPITAL,BRADENTON,FL,34209
100299,LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,FL,34202
