Provider ID,Measure,Score,Domain,Hospital Name,City,State,ZIP Code
100035,H_DOCTOR_EXPLAIN_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_3_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_3_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_3_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_3_LINEAR_SCORE,80.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_3_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CALL_BUTTON_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CALL_BUTTON_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_CALL_BUTTON_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_BATH_HELP_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_BATH_HELP_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_BATH_HELP_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_5_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_5_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_5_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_5_LINEAR_SCORE,66.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_5_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_MED_FOR_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_MED_FOR_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_MED_FOR_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_SIDE_EFFECTS_A_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_SIDE_EFFECTS_SN_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_SIDE_EFFECTS_U_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_6_N_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_6_Y_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_6_LINEAR_SCORE,83.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_6_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_DISCH_HELP_N_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_DISCH_HELP_Y_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_SYMPTOMS_N_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_SYMPTOMS_Y_P,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_7_A,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_7_D_SD,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_7_SA,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_7_LINEAR_SCORE,76.0,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
100035,H_COMP_7_STAR_RATING,,HCAHPS,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208
