Provider ID,Hospital Name,City,State,ZIP Code,Readmission_Score_mean,Readmission_Score_median,Readmission_n,HCAHPS_LinearMean_mean,HCAHPS_Star_mean,HCAHPS_ResponseRate_mean,HCAHPS_n,Safety_Score_mean,Safety_n
100035,MANATEE MEMORIAL HOSPITAL,BRADENTON,FL,34208,0.9974999999999999,0.98685,6,79.8,1.8181818181818181,18.0,93,12.820000000000002,20
100087,SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,34239,0.9202,0.94225,6,84.2,2.909090909090909,28.0,93,9.6685,20
100213,HCA FLORIDA BLAKE HOSPITAL,BRADENTON,FL,34209,0.9978000000000001,1.01,6,77.2,1.3636363636363635,22.0,93,13.067499999999999,20
100299,LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,FL,34202,0.95404,0.9379,6,83.0,2.5454545454545454,26.0,93,12.964210526315789,20
